Date,Time,102,103,104
1/1/2016,00:00:00,128.071,273.218,303.613
1/1/2016,01:00:00,127.548,272.103,302.726
1/1/2016,02:00:00,126.261,269.356,300.352
1/1/2016,03:00:00,126.1375,269.093,300.737
1/1/2016,04:00:00,126.8875,270.693,303.403
1/1/2016,05:00:00,129.005,275.211,309.523
1/1/2016,06:00:00,134.706,287.373,320.952
1/1/2016,07:00:00,138.312,295.065,329.341
1/1/2016,08:00:00,142.1135,303.176,336.126
1/1/2016,09:00:00,146.83,313.237,347.24
1/1/2016,10:00:00,148.144,316.04,349.924
1/1/2016,11:00:00,146.1425,311.771,343.845
1/1/2016,12:00:00,142.5395,304.084,334.755
1/1/2016,13:00:00,145.148,309.649,340.065
1/1/2016,14:00:00,147.452,314.564,345.14
1/1/2016,15:00:00,149.1315,318.147,348.565
1/1/2016,16:00:00,150,320,350
1/1/2016,17:00:00,145.6925,310.811,340.216
1/1/2016,18:00:00,142.7185,304.466,335.321
1/1/2016,19:00:00,139.3575,297.296,327.906
1/1/2016,20:00:00,135.6985,289.49,320.229
1/1/2016,21:00:00,133.0585,283.858,316.057
1/1/2016,22:00:00,130.336,278.05,311.932
1/1/2016,23:00:00,128.637,274.426,308.344
1/10/2016,00:00:00,157.613,260.106,303.613
1/10/2016,01:00:00,156.2595,254.364,302.726
1/10/2016,02:00:00,154.575,251.721,300.352
1/10/2016,03:00:00,154.308,250.433,300.737
1/10/2016,04:00:00,155.225,252.037,303.403
1/10/2016,05:00:00,158.381,259.717,309.523
1/10/2016,06:00:00,165.499,280.921,320.952
1/10/2016,07:00:00,170.3,290,329.341
1/10/2016,08:00:00,173.3675,285.566,336.126
1/10/2016,09:00:00,177.0685,273.65,347.24
1/10/2016,10:00:00,178.077,276.469,349.924
1/10/2016,11:00:00,175.2475,260.457,343.845
1/10/2016,12:00:00,171.4785,247.564,334.755
1/10/2016,13:00:00,173.8655,241.428,340.065
1/10/2016,14:00:00,175.986,234.381,345.14
1/10/2016,15:00:00,177.991,234.312,348.565
1/10/2016,16:00:00,180,244.397,350
1/10/2016,17:00:00,177.5585,270.017,340.216
1/10/2016,18:00:00,177.0715,278.29,335.321
1/10/2016,19:00:00,174.0815,277.637,327.906
1/10/2016,20:00:00,170.146,270.668,320.229
1/10/2016,21:00:00,167.729,264.054,316.057
1/10/2016,22:00:00,164.3115,251.907,311.932
1/10/2016,23:00:00,161.19,238.051,308.344
