order,1,2,3,4,5
bus_agg,101,102,103,104,105
1,0.0,128.071,273.218,303.613,0.0
2,0.0,127.548,272.103,302.726,0.0
3,0.0,126.261,269.356,300.352,0.0
4,0.0,126.1375,269.093,300.737,0.0
5,0.0,126.8875,270.693,303.403,0.0
6,0.0,129.005,275.211,309.523,0.0
7,0.0,134.706,287.373,320.952,0.0
8,0.0,138.312,295.065,329.341,0.0
9,0.0,142.1135,303.176,336.126,0.0
10,0.0,146.83,313.237,347.24,0.0
11,0.0,148.144,316.04,349.924,0.0
12,0.0,146.1425,311.771,343.845,0.0
13,0.0,142.5395,304.084,334.755,0.0
14,0.0,145.148,309.649,340.065,0.0
15,0.0,147.452,314.564,345.14,0.0
16,0.0,149.1315,318.147,348.565,0.0
17,0.0,150.0,320.0,350.0,0.0
18,0.0,145.6925,310.811,340.216,0.0
19,0.0,142.7185,304.466,335.321,0.0
20,0.0,139.3575,297.296,327.906,0.0
21,0.0,135.6985,289.49,320.229,0.0
22,0.0,133.0585,283.858,316.057,0.0
23,0.0,130.336,278.05,311.932,0.0
24,0.0,128.637,274.426,308.344,0.0
