periods,id121 1->2,id121 2->1,id120 1->2,id120 2->1,id122 1->4,id122 4->1,id123 1->5,id123 5->1,id124 2->3,id124 3->2,id125 3->4,id125 4->3,id126 4->5,id126 5->4,id127 5->4,id127 4->5
1,149.783041778205,-149.164958221795,149.783041778205,-149.164958221795,69.9873672950112,-69.8506327049888,-318.3535279993728,318.9784720006272,149.50896053976538,-149.2730394602346,-123.94441060541915,124.41158939458084,-139.96140306210833,140.51059693789165,140.51059693789165,-139.96140306210833
2,149.03014715528124,-148.40985284471876,149.03014715528124,-148.40985284471876,72.07655535489519,-71.9154446451048,-315.3361795449568,315.9718204550432,150.7712901658854,-150.5247098341146,-121.5785739625406,122.01342603745941,-141.4117652926814,142.0142347073186,142.0142347073186,-141.4117652926814
3,146.0577566427208,-145.5962433572792,146.0577566427208,-145.5962433572792,74.9091612321152,-74.71883876788479,-311.4254120109792,311.9265879890208,152.8814132288216,-152.57658677117843,-116.77845139525739,117.0835486047426,-143.44354727178717,144.03645272821285,144.03645272821285,-143.44354727178717
4,141.22394254380498,-140.654057456195,141.22394254380498,-140.654057456195,77.94641744775281,-77.7875825522472,-306.9938444172288,307.5841555827712,158.3610502834806,-158.10894971651942,-110.98410896091501,111.385891039085,-145.63030109414916,146.20769890585086,146.20769890585086,-145.63030109414916
5,128.68162002628006,-128.13037997371995,128.68162002628006,-128.13037997371995,79.62146494438,-79.43653505562,-286.5849947627008,287.1910052372992,169.485024084375,-169.20897591562502,-101.4836326575086,101.8483673424914,-142.90784136016458,143.5421586398354,143.5421586398354,-142.90784136016458
6,129.7210922652098,-129.2289077347902,129.7210922652098,-129.2289077347902,76.1940001415168,-76.0019998584832,-290.03574861048,290.60625138952,169.4994162292854,-169.1885837707146,-106.0225214627166,106.35347853728341,-140.13683048313834,140.76716951686166,140.76716951686166,-140.13683048313834
7,136.98340810640244,-136.45659189359756,136.98340810640244,-136.45659189359756,72.9037503966488,-72.7402496033512,-306.8710435344352,307.4749564655648,170.96250827659262,-170.6474917234074,-116.7261544133694,117.1298455866306,-140.43467734414,141.02732265586,141.02732265586,-140.43467734414
8,139.48426980161778,-138.9317301983822,139.48426980161778,-138.9317301983822,73.92647657170879,-73.7615234282912,-312.6936656019328,313.3243343980672,174.9007733335896,-174.5752266664104,-119.44970699211235,119.88029300788766,-142.73014969724235,143.33785030275763,143.33785030275763,-142.73014969724235
9,145.44402682582245,-144.86597317417755,145.44402682582245,-144.86597317417755,78.17384470118,-77.98815529882,-299.1114104852352,299.6685895147648,169.5898357536536,-169.27616424634638,-118.8203695214014,119.23163047859859,-144.13086830077117,144.74313169922885,144.74313169922885,-144.13086830077117
10,143.70039300797518,-143.1276069920248,143.70039300797518,-143.1276069920248,87.7765053764952,-87.5434946235048,-230.2274439290752,230.5605560709248,170.85155992681499,-170.536440073185,-107.8601277821486,108.2038722178514,-139.0880153873214,139.65998461267858,139.65998461267858,-139.0880153873214
11,134.31600318818,-133.81399681182,134.31600318818,-133.81399681182,88.6257598140928,-88.38824018590721,-207.30751708105922,207.5784829189408,170.85629807381662,-170.5417019261834,-98.17824376899635,98.46375623100364,-135.02509999925874,135.56490000074123,135.56490000074123,-135.02509999925874
12,127.35290283509404,-126.90109716490595,127.35290283509404,-126.90109716490595,87.5830214888728,-87.3509785111272,-173.0895864133632,173.2784135866368,153.76041691435742,-153.5055830856426,-86.5051402117806,86.7268597882194,-126.61059195704,127.08540804296,127.08540804296,-126.61059195704
13,109.84032457820125,-109.50367542179875,109.84032457820125,-109.50367542179875,85.0153760016768,-84.79662399832321,-114.2958943928192,114.3781056071808,126.16882568246,-125.99717431754,-62.646854743681395,62.7631452563186,-111.361208046875,111.728791953125,111.728791953125,-111.361208046875
14,106.496253255445,-106.17974674455499,106.496253255445,-106.17974674455499,85.50163028112881,-85.2803697188712,-113.6433385594368,113.7246614405632,124.9111227388326,-124.7428772611674,-58.546221277746405,58.6477787222536,-111.7160033778094,112.08599662219059,112.08599662219059,-111.7160033778094
15,115.23218164175125,-114.86181835824874,115.23218164175125,-114.86181835824874,85.10257465718,-84.88342534281999,-154.51763616225278,154.6683638377472,132.1220995794646,-131.9339004205354,-69.79082216767834,69.93517783232166,-120.0952455274464,120.5227544725536,120.5227544725536,-120.0952455274464
16,133.18507131367804,-132.69092868632194,133.18507131367804,-132.69092868632194,84.2874325822232,-84.07256741777681,-225.45730775008,225.77869224992,150.7995341311526,-150.5544658688474,-94.272254421915,94.535745578085,-134.5139905714846,135.0500094285154,135.0500094285154,-134.5139905714846
17,148.60652549603222,-147.9794745039678,148.60652549603222,-147.9794745039678,81.6315612277088,-81.43043877229121,-306.3951227590368,307.0008772409632,172.8167946641606,-172.49920533583938,-119.42059969611034,119.85140030388965,-149.210876742875,149.875123257125,149.875123257125,-149.210876742875
18,135.61194632082,-135.06605367918,135.61194632082,-135.06605367918,68.1510307266712,-68.0209692733288,-320.92450074112,321.60349925888,185.2398394927576,-184.8901605072424,-125.40167021655634,125.90632978344365,-138.63971041294002,139.19828958706,139.19828958706,-138.63971041294002
19,140.3248171418752,-139.83318285812481,140.3248171418752,-139.83318285812481,61.1295144464792,-60.988485553520796,-330.97950788884475,331.6424921111552,172.3901021817304,-172.0298978182696,-132.43555196384,132.87644803616,-133.6047858354176,134.1792141645824,134.1792141645824,-133.6047858354176
20,140.7130105062528,-140.15098949374718,140.7130105062528,-140.15098949374718,58.2431839455832,-58.1408160544168,-335.06913474149115,335.7928652585088,164.7072676387654,-164.4187323612346,-132.87796991222876,133.41003008777125,-131.58679824868315,132.10320175131685,132.10320175131685,-131.58679824868315
21,134.51165240355405,-134.05234759644597,134.51165240355405,-134.05234759644597,61.8807030583648,-61.7412969416352,-329.9033512899552,330.5686487100448,165.9492768491096,-165.6207231508904,-123.8693627570176,124.26263724298241,-134.14394531603716,134.71605468396285,134.71605468396285,-134.14394531603716
22,130.7880900024018,-130.2339099975982,130.7880900024018,-130.2339099975982,64.76372849030079,-64.6642715096992,-325.7385712765152,326.46742872348483,166.59150153624,-166.33649846376,-117.5212699398206,118.0247300601794,-136.25411927445833,136.76588072554165,136.76588072554165,-136.25411927445833
23,137.7611076023688,-137.2308923976312,137.7611076023688,-137.2308923976312,58.7817720137568,-58.6742279862432,-334.3045803186048,335.01941968139516,152.9768087970456,-152.72319120295438,-125.32768100256959,125.7903189974304,-131.96572505275637,132.49027494724365,132.49027494724365,-131.96572505275637
24,136.33047688622645,-135.83152311377353,136.33047688622645,-135.83152311377353,59.96506096992,-59.84493903008,-332.6248556137952,333.31914438620475,152.175372283375,-151.91262771662502,-122.51364500489514,122.93035499510485,-132.79608624623836,133.33991375376166,133.33991375376166,-132.79608624623836
