periods,gen 10001,gen 10002,gen 10003,gen 10006,gen 10007,gen 10008
1.0,51.2,0.0,0.0,29.25,0.0,0.0
2.0,54.8,0.0,0.0,31.5,0.0,0.0
3.0,55.6,0.0,0.0,37.95,0.0,0.0
4.0,53.4,0.0,0.0,44.1,0.0,0.0
5.0,50.4,0.0,0.0,47.55,0.0,0.0
6.0,45.6,0.0,0.0,41.4,0.0,0.0
7.0,40.0,0.0,0.0,33.0,0.0,0.0
8.0,40.2,0.0,1.04,26.1,1.0,0.0
9.0,47.2,22.75,15.08,20.55,9.8,8.25
10.0,58.2,86.75,34.84,15.75,17.2,18.75
11.0,50.2,99.75,47.32,18.45,33.2,39.5
12.0,42.2,127.0,71.76,15.15,31.0,37.25
13.0,33.4,157.0,115.44,13.5,36.2,41.5
14.0,23.6,161.25,126.36,13.5,44.2,40.0
15.0,16.8,144.25,112.84,11.85,38.0,33.25
16.0,12.2,113.0,73.32,10.35,24.2,20.0
17.0,10.2,62.25,28.08,9.15,9.6,6.75
18.0,11.2,7.25,0.52,10.8,0.0,0.0
19.0,10.8,0.0,0.0,10.8,0.0,0.0
20.0,4.6,0.0,0.0,6.9,0.0,0.0
21.0,1.0,0.0,0.0,4.5,0.0,0.0
22.0,0.6,0.0,0.0,5.85,0.0,0.0
23.0,0.0,0.0,0.0,8.85,0.0,0.0
24.0,0.0,0.0,0.0,9.15,0.0,0.0
