periods,id121 1-2,id120 1-2,id122 1-4,id123 1-5,id124 2-3,id125 3-4,id126 4-5,id127 5-4
1,0.47453937674240004,0.47453937674240004,0.13972332556000003,0.4892944,0.2802389946048,0.3734488084932,0.4940538147072,0.4940538147072
2,0.6073450895936,0.6073450895936,0.1372978795264,0.6009754190400001,0.23650885752120002,0.45755149968000003,0.5398480506177,0.5398480506177
3,0.4523830780644001,0.4523830780644001,0.13789917891040002,0.4511919760384001,0.2766459128832,0.3548626942608,0.4726705019652,0.4726705019652
4,0.42155171310440004,0.42155171310440004,0.13800157143040004,0.42912282547839997,0.28668823915319996,0.33475522081319997,0.46230444321930003,0.46230444321930003
5,0.5538880248129,0.5538880248129,0.13683247024000003,0.5663752658496001,0.24774033530879996,0.4222586264193,0.5235872585625,0.5235872585625
6,0.5907291612761002,0.5907291612761002,0.14119044400000005,0.6251280065536,0.2507625013932,0.4481192892132,0.5582778084873001,0.5582778084873001
7,0.5188513669136,0.5188513669136,0.15502573999840003,0.5882720386624,0.3123477055152,0.40872756041370006,0.5691041970371998,0.5691041970371998
8,0.5525396032356001,0.5525396032356001,0.16495314341760003,0.6306687961344,0.3255466671792,0.4305860157753,0.6077006055153,0.6077006055153
9,0.5635321523876001,0.5635321523876001,0.18433760176000005,0.5425098105856001,0.31752265923,0.4040028677817,0.6026217061392,0.6026217061392
10,0.5701412265284,0.5701412265284,0.2327340402736,0.3310391024704,0.31581757457279996,0.3425377165353,0.5702723915328001,0.5702723915328001
11,0.5015632843481,0.5015632843481,0.2374712625456,0.2706261885184,0.3147215023692,0.28531448061930004,0.5394957399513,0.5394957399513
12,0.4753211518161,0.4753211518161,0.2983176843184001,0.23099136256,0.2769156274608,0.18953391278250004,0.6016913364132,0.6016913364132
13,0.3366491564025,0.3366491564025,0.21875200335360007,0.08221121436159999,0.17165136491999997,0.11629051263719999,0.36758390625000004,0.36758390625000004
14,0.3362432883201,0.3362432883201,0.2860748846896001,0.10972143504000001,0.18627374412000003,0.08018220912570001,0.4828712149008,0.4828712149008
15,0.5229603676721,0.5229603676721,0.27940230089440005,0.27598778189440004,0.16939862207999998,0.1737391270032,0.6062909627313001,0.6062909627313001
16,0.5187291872144,0.5187291872144,0.27880225338240006,0.3757456589056,0.26673170093279996,0.22829068139130002,0.6703544141711999,0.6703544141711999
17,0.6270509920644001,0.6270509920644001,0.2011224554176,0.6057544819264,0.3175893283212,0.4308006077793,0.66424651425,0.66424651425
18,0.5134434887556001,0.5134434887556001,0.1441937250864,0.6585095028735999,0.37145041587000005,0.4628455988112,0.5789310354432001,0.5789310354432001
19,0.49163428375039997,0.49163428375039997,0.14102889295840004,0.6629842223104,0.36020436346080004,0.44089607232,0.5744283291648,0.5744283291648
20,0.47685734734410007,0.47685734734410007,0.1373142240256,0.6683134950976001,0.3424986996587999,0.42210282188250003,0.5691124195712999,0.5691124195712999
21,0.5740062807056,0.5740062807056,0.09301637644,0.7405451919616,0.2582961825708,0.5400082298457001,0.5013047128617001,0.5013047128617001
22,0.5352062026760999,0.5352062026760999,0.10651946093440003,0.7165772194816001,0.26566688448000003,0.4791670980228,0.5229486197891999,0.5229486197891999
23,0.5302152047376001,0.5302152047376001,0.10754402751360001,0.7148393627904001,0.25361759409119994,0.46263799486080004,0.5245498944872999,0.5245498944872999
24,0.5194166351684,0.5194166351684,0.11176873804000001,0.7077728160000002,0.2509303879872,0.44204030651880005,0.5311065560625,0.5311065560625
