periods,1-2,1-4,1-5,2-3,3-4,4-5
1,1.6286313002627886,0.5744335289365654,0.6822150270548043,0.2062667595174698,0.5603108754578608,1.3226947451125486
2,1.8768309433246066,0.7502467645819618,0.8183426366457434,0.2062667595174698,0.5333155575704798,1.679795551461426
3,1.8768309433246066,0.7502467645819618,0.8183426366457434,0.2062667595174698,0.5333155575704798,1.679795551461426
4,1.4427265034847414,0.5474089802992917,0.6187912544005065,0.2062667595174698,0.4813235480315401,1.2400727816179113
5,1.4427265034847414,0.5744335289365654,0.6187912544005065,0.23468512900007132,0.4813235480315401,1.2810510372484556
6,1.9810308923522792,0.6304350178551169,0.8183426366457434,0.17968170030027192,0.6749535967980416,1.495923256048863
7,1.928579533755374,0.6594119021349288,0.8910463374550265,0.2062667595174698,0.6452937556496818,1.5865291105767998
8,1.8257851728084737,0.6890395078762134,0.8910463374550265,0.2649367803297054,0.6163000024920925,1.632829780791689
9,1.928579533755374,0.7502467645819618,0.7487321766422829,0.23468512900007132,0.5879723663189086,1.632829780791689
10,1.928579533755374,0.8140565431433802,0.5012240904926979,0.23468512900007132,0.5333155575704798,1.5408935871173184
11,1.7258022950004686,0.8140565431433802,0.44708081680637796,0.23468512900007132,0.43199654567002743,1.495923256048863
12,1.534272577279347,0.7502467645819618,0.3032128692567089,0.17968170030027192,0.34133834105048394,1.2810510372484556
13,1.1444700428147045,0.6304350178551169,0.1547016811099525,0.13201161716941173,0.20834331719663587,0.9718610130583785
14,1.5811003809484423,0.8804685883214824,0.3032128692567089,0.09167507028737924,0.20834331719663587,1.451618162341739
15,1.2680737569471197,0.6890395078762134,0.26144433776325315,0.13201161716941173,0.2253431741589763,1.1601127903048523
16,2.3104941889590527,0.9849653220437321,0.7487321766422829,0.13201161716941173,0.4813235480315401,1.9755546083963396
17,2.1426010491125735,0.7818263543391621,0.8910463374550265,0.23468512900007132,0.6749535967980416,1.7757222056370856
18,1.8257851728084737,0.6021088840136563,0.8910463374550265,0.2649367803297054,0.7052794962773362,1.495923256048863
19,1.9810308923522792,0.49531240979154034,0.9668432063656386,0.2062667595174698,0.8668987839205125,1.3650038635663715
20,1.6286313002627886,0.6021088840136563,0.8910463374550265,0.2649367803297054,0.5879723663189086,1.495923256048863
21,1.928579533755374,0.49531240979154034,0.9668432063656386,0.17968170030027192,0.8002532381114655,1.3650038635663715
22,1.5811003809484423,0.6021088840136563,0.8910463374550265,0.23468512900007132,0.5333155575704798,1.495923256048863
23,1.6286313002627886,0.5744335289365654,0.8910463374550265,0.2062667595174698,0.5603108754578608,1.451618162341739
24,1.7754422732528239,0.5210352651264227,0.9668432063656386,0.1549299779337796,0.6452937556496818,1.4079783503009407
