Periods,Thermal generation(MW),Renewable generation(MW),BESS discharging(MW),Demand response(MW),Load(MW),BESS charging(MW),Losses(MW),Error
1,35627.112,8161.629999999997,1147.02,0.0,43285.67471999998,1454.4549999999997,195.62998134431325,0.002298655701338248
2,35388.887,8774.312,835.3,0.0,42885.36156999998,1894.4599999999998,218.6762814265578,0.001148573466707603
3,35613.988000000005,8253.858000000002,629.74,0.0,42744.273409999994,1556.9569999999999,196.35298668867884,0.0026033113299206434
4,34998.142,8161.010000000004,793.0,0.0,42905.199799999995,836.4490000000001,210.50425370180469,-0.0010537017977583218
5,36192.633,8313.162999999997,280.077,0.0,43462.11701999998,1100.034,223.72001785861636,0.0019621413998152093
6,36878.882,8281.071,250.0,0.0,44560.446899999966,599.677,249.8236559733092,0.005444026718578243
7,41536.844,7583.6720000000005,189.71900000000002,0.0,48775.83883000001,290.63,243.76450017417798,0.0016698258074541172
8,44187.20499999999,6916.563000000002,57.927,0.0,50896.596449999975,41.819,223.2850907308898,-0.005540730872837685
9,44514.509999999995,6873.452999999997,7.802,0.0,51178.47307,7.196,210.10160197225773,-0.005671972265588465
10,43316.43399999999,7237.146999999995,251.583,0.0,50578.58218000002,10.664,215.91667371920772,0.001146280755335738
11,45094.282,6785.609999999995,0.0,0.0,51448.78887999998,243.433,187.67276147409518,-0.002641474080860462
12,44175.224,5763.175999999998,293.744,0.0,49893.10877000001,160.045,178.99268149805738,-0.0024514980705987455
13,44584.49100000001,5106.768000000001,122.162,0.0,49242.96449000001,401.93,168.52646771697692,4.2283019411115674e-5
14,44953.77700000001,4334.106,463.446,0.0,49594.649589999986,0.0,156.67870787582152,0.0007021242045937015
15,45976.29100000001,3619.817999999999,581.3290000000001,0.0,50020.15599,0.0,157.2798124122224,0.002197587787492239
16,47566.99800000001,2920.185000000002,656.149,0.0,50736.33427,250.0,156.9981099414486,-0.0003799414385525779
17,48818.37000000001,2249.291000000001,1199.893,0.0,52108.317359999994,0.0,159.24130207737716,-0.00466207736707247
18,50297.94900000001,2015.116,2520.792,0.0,54655.83870000001,0.0,178.02092272527503,-0.0026227252716637395
19,49789.95700000001,2450.8810000000003,2062.498,0.0,53898.30926000003,230.603,174.42144345071168,0.0022965492676405574
20,49532.689000000006,2831.2199999999993,1294.588,0.0,53276.44257,202.602,179.4471699118865,0.005260088124543927
21,47656.80200000001,3946.004,363.214,0.0,51703.139670000004,61.086,201.78964426827594,0.004685731731285614
22,45211.18000000001,5027.616999999999,435.056,0.0,50216.351369999946,250.0,207.50281500260158,-0.001185002544531244
23,42359.094999999994,5695.551999999999,204.358,0.0,48012.03200999997,50.42099999999999,196.5546908615421,-0.0027008615255113
24,40996.606999999996,6268.106999999999,166.667,0.0,46703.93353000003,527.1460000000001,200.29684218288196,0.004627817080745444
